Date,Growth,Inflation,Delta_Inflation
2/1/01,0,3.533568905,-0.198658584
3/1/01,0,2.920560748,-0.613008157
4/1/01,1,3.269118506,0.348557758
5/1/01,1,3.61516035,0.346041844
6/1/01,1,3.248259861,-0.366900489
7/1/01,1,2.719907407,-0.528352453
8/1/01,1,2.719907407,0
9/1/01,1,2.648244099,-0.071663308
10/1/01,1,2.126436782,-0.521807317
11/1/01,1,1.895462378,-0.230974404
12/1/01,0,1.551724138,-0.34373824
1/1/02,0,1.142204455,-0.409519683
2/1/02,0,1.137656428,-0.004548027
3/1/02,0,1.475595914,0.337939486
4/1/02,0,1.639344262,0.163748349
5/1/02,0,1.181767023,-0.457577239
6/1/02,0,1.06741573,-0.114351293
7/1/02,0,1.464788732,0.397373002
8/1/02,0,1.802816901,0.338028169
9/1/02,0,1.514301739,-0.288515163
10/1/02,0,2.025886325,0.511584587
11/1/02,0,2.198421646,0.172535321
12/1/02,0,2.376910017,0.178488371
1/1/03,0,2.597402597,0.22049258
2/1/03,0,2.98087739,0.383474793
3/1/03,0,3.020134228,0.039256838
4/1/03,0,2.224694105,-0.795440124
5/1/03,0,2.057842047,-0.166852058
6/1/03,0,2.112284603,0.054442556
7/1/03,0,2.109938923,-0.00234568
8/1/03,0,2.158273381,0.048334458
9/1/03,0,2.320441989,0.162168608
10/1/03,0,2.040816327,-0.279625662
11/1/03,0,1.765030336,-0.27578599
12/1/03,0,1.879491432,0.114461095
1/1/04,0,1.926252064,0.046760632
2/1/04,0,1.6930639,-0.233188164
3/1/04,0,1.737242128,0.044178229
4/1/04,0,2.285092492,0.547850364
5/1/04,0,3.051771117,0.766678625
6/1/04,0,3.266194883,0.214423766
7/1/04,0,2.990755846,-0.275439037
8/1/04,0,2.654387866,-0.33636798
9/1/04,0,2.537796976,-0.116590889
10/1/04,0,3.189189189,0.651392213
11/1/04,0,3.52303523,0.333846041
12/1/04,0,3.255561584,-0.267473646
1/1/05,0,2.969762419,-0.285799165
2/1/05,0,3.007518797,0.037756378
3/1/05,0,3.148345784,0.140826987
4/1/05,0,3.510638298,0.362292513
5/1/05,0,2.802749868,-0.70788843
6/1/05,0,2.530311017,-0.27243885
7/1/05,0,3.167898627,0.63758761
8/1/05,0,3.64116095,0.473262323
9/1/05,0,4.686677199,1.045516249
10/1/05,0,4.347826087,-0.338851112
11/1/05,0,3.455497382,-0.892328705
12/1/05,0,3.415659485,-0.039837897
1/1/06,0,3.985317252,0.569657767
2/1/06,0,3.597497393,-0.387819859
3/1/06,0,3.362648733,-0.234848661
4/1/06,0,3.545734841,0.183086108
5/1/06,0,4.166666667,0.620931826
6/1/06,0,4.318766067,0.1520994
7/1/06,0,4.145342886,-0.17342318
8/1/06,0,3.818737271,-0.326605616
9/1/06,0,2.062374245,-1.756363025
10/1/06,0,1.305220884,-0.757153362
11/1/06,0,1.973684211,0.668463327
12/1/06,0,2.540650407,0.566966196
1/1/07,0,2.075642965,-0.465007441
2/1/07,0,2.415198792,0.339555827
3/1/07,0,2.778778779,0.363579987
4/1/07,0,2.57369727,-0.205081508
5/1/07,0,2.690864198,0.117166927
6/1/07,0,2.68703795,-0.003826248
7/1/07,0,2.358230958,-0.328806991
8/1/07,0,1.970083374,-0.388147584
9/1/07,0,2.75505175,0.784968375
10/1/07,0,3.53617443,0.78112268
11/1/07,0,4.306203474,0.770029044
12/1/07,0,4.081268583,-0.224934891
1/1/08,1,4.280294048,0.199025465
2/1/08,1,4.026555413,-0.253738635
3/1/08,1,3.981456231,-0.045099182
4/1/08,1,3.936889775,-0.044566456
5/1/08,1,4.175543042,0.238653267
6/1/08,1,5.021790048,0.846247006
7/1/08,1,5.6001229,0.578332853
8/1/08,1,5.371855115,-0.228267785
9/1/08,1,4.936927431,-0.434927685
10/1/08,1,3.655186277,-1.281741153
11/1/08,1,1.069574692,-2.585611585
12/1/08,1,0.091412901,-0.978161791
1/1/09,1,0.029846504,-0.061566397
2/1/09,1,0.236191088,0.206344584
3/1/09,1,-0.383556255,-0.619747343
4/1/09,1,-0.736885715,-0.35332946
5/1/09,1,-1.281435799,-0.544550084
6/1/09,1,-1.426776044,-0.145340245
7/1/09,0,-2.097161354,-0.67038531
8/1/09,0,-1.484348612,0.612812742
9/1/09,0,-1.286205967,0.198142645
10/1/09,0,-0.182848277,1.103357689
11/1/09,0,1.838295869,2.021144147
12/1/09,0,2.721331126,0.883035257
1/1/10,0,2.625708643,-0.095622483
2/1/10,0,2.143331778,-0.482376865
3/1/10,0,2.313959447,0.170627669
4/1/10,0,2.236447196,-0.077512251
5/1/10,0,2.020986084,-0.215461112
6/1/10,0,1.053348973,-0.967637111
7/1/10,0,1.235192778,0.181843805
8/1/10,0,1.148104562,-0.087088216
9/1/10,0,1.143682658,-0.004421904
10/1/10,0,1.172187606,0.028504947
11/1/10,0,1.143160912,-0.029026694
12/1/10,0,1.495723527,0.352562616
1/1/11,0,1.631846857,0.13612333
2/1/11,0,2.107584629,0.475737771
3/1/11,0,2.681603264,0.574018636
4/1/11,0,3.163630859,0.482027595
5/1/11,0,3.568645785,0.405014925
6/1/11,0,3.558828252,-0.009817532
7/1/11,0,3.628715982,0.06988773
8/1/11,0,3.771208179,0.142492197
9/1/11,0,3.868356841,0.097148662
10/1/11,0,3.525199921,-0.34315692
11/1/11,0,3.394377591,-0.130822331
12/1/11,0,2.962418845,-0.431958746
1/1/12,0,2.925216712,-0.037202133
2/1/12,0,2.87109878,-0.054117932
3/1/12,0,2.651398193,-0.219700587
4/1/12,0,2.302739811,-0.348658382
5/1/12,0,1.704253775,-0.598486036
6/1/12,0,1.663993762,-0.040260013
7/1/12,0,1.408450704,-0.255543058
8/1/12,0,1.692378998,0.283928293
9/1/12,0,1.991282081,0.298903083
10/1/12,0,2.162343599,0.171061518
11/1/12,0,1.764133846,-0.398209753
12/1/12,0,1.741022369,-0.023111477
1/1/13,0,1.594864668,-0.146157701
2/1/13,0,1.97792351,0.383058842
3/1/13,0,1.473896213,-0.504027297
4/1/13,0,1.063085381,-0.410810831
5/1/13,0,1.361965059,0.298879677
6/1/13,0,1.754416545,0.392451487
7/1/13,0,1.960681612,0.206265066
8/1/13,0,1.51836756,-0.442314052
9/1/13,0,1.184925262,-0.333442298
10/1/13,0,0.963612705,-0.221312557
11/1/13,0,1.237072205,0.2734595
12/1/13,0,1.50173562,0.264663415
1/1/14,0,1.578947368,0.077211749
2/1/14,0,1.12634925,-0.452598118
